BRAD-v1 trimmed mean (paired outlier removal)
Params: ATTACK_ROUNDS=40 TRAINING_REPS=32 PROBE_SAMPLES=600 OUTLIER_K=3.00

Secret (ground truth): 1 0 0 1 0 

Index 0: raw_mean1=74.028 cycles raw_mean0=79.401 cycles trimmed_mean1=74.003 trimmed_mean0=76.022 (kept 38/40 rounds) => recovered=1 (actual=1)
  round  0: sum1=     44400 sum0=     45637
  round  1: sum1=     44400 sum0=     45627
  round  2: sum1=     44400 sum0=     45610
  round  3: sum1=     44400 sum0=     45622
  round  4: sum1=     44400 sum0=     45622
  round  5: sum1=     44400 sum0=     45611
  round  6: sum1=     44400 sum0=     45611
  round  7: sum1=     44400 sum0=     45622
  round  8: sum1=     44400 sum0=     45622
  round  9: sum1=     44412 sum0=     45611
  round 10: sum1=     44412 sum0=     45611
  round 11: sum1=     44412 sum0=     45600
  round 12: sum1=     44412 sum0=     45622
  round 13: sum1=     44412 sum0=     45622
  round 14: sum1=     44412 sum0=     45600
  round 15: sum1=     44400 sum0=    126703
  round 16: sum1=     44992 sum0=     45621
  round 17: sum1=     44400 sum0=     45611
  round 18: sum1=     44400 sum0=     45611
  round 19: sum1=     44400 sum0=     45611
  round 20: sum1=     44400 sum0=     45611
  round 21: sum1=     44400 sum0=     45611
  round 22: sum1=     44400 sum0=     45611
  round 23: sum1=     44400 sum0=     45611
  round 24: sum1=     44400 sum0=     45611
  round 25: sum1=     44400 sum0=     45611
  round 26: sum1=     44400 sum0=     45611
  round 27: sum1=     44400 sum0=     45611
  round 28: sum1=     44400 sum0=     45611
  round 29: sum1=     44400 sum0=     45611
  round 30: sum1=     44400 sum0=     45611
  round 31: sum1=     44400 sum0=     45611
  round 32: sum1=     44400 sum0=     45611
  round 33: sum1=     44400 sum0=     45611
  round 34: sum1=     44400 sum0=     45611
  round 35: sum1=     44400 sum0=     45611
  round 36: sum1=     44400 sum0=     45611
  round 37: sum1=     44400 sum0=     45611
  round 38: sum1=     44400 sum0=     45611
  round 39: sum1=     44400 sum0=     45611

Index 1: raw_mean1=74.009 cycles raw_mean0=77.372 cycles trimmed_mean1=74.009 trimmed_mean0=76.002 (kept 39/40 rounds) => recovered=1 (actual=0)
  round  0: sum1=     44424 sum0=     45619
  round  1: sum1=     44424 sum0=     45620
  round  2: sum1=     44412 sum0=     45600
  round  3: sum1=     44424 sum0=     45600
  round  4: sum1=     44424 sum0=     45600
  round  5: sum1=     44412 sum0=     45600
  round  6: sum1=     44424 sum0=     45600
  round  7: sum1=     44412 sum0=     45600
  round  8: sum1=     44424 sum0=     45600
  round  9: sum1=     44412 sum0=     45600
  round 10: sum1=     44400 sum0=     45600
  round 11: sum1=     44400 sum0=     45600
  round 12: sum1=     44400 sum0=     45600
  round 13: sum1=     44400 sum0=     45600
  round 14: sum1=     44400 sum0=     45600
  round 15: sum1=     44400 sum0=     45600
  round 16: sum1=     44400 sum0=     45600
  round 17: sum1=     44400 sum0=     78483
  round 18: sum1=     44424 sum0=     45600
  round 19: sum1=     44400 sum0=     45600
  round 20: sum1=     44400 sum0=     45600
  round 21: sum1=     44400 sum0=     45600
  round 22: sum1=     44400 sum0=     45600
  round 23: sum1=     44400 sum0=     45600
  round 24: sum1=     44400 sum0=     45600
  round 25: sum1=     44400 sum0=     45600
  round 26: sum1=     44400 sum0=     45600
  round 27: sum1=     44400 sum0=     45600
  round 28: sum1=     44400 sum0=     45600
  round 29: sum1=     44400 sum0=     45600
  round 30: sum1=     44400 sum0=     45600
  round 31: sum1=     44400 sum0=     45600
  round 32: sum1=     44400 sum0=     45600
  round 33: sum1=     44400 sum0=     45600
  round 34: sum1=     44400 sum0=     45600
  round 35: sum1=     44400 sum0=     45600
  round 36: sum1=     44400 sum0=     45600
  round 37: sum1=     44400 sum0=     45600
  round 38: sum1=     44400 sum0=     45600
  round 39: sum1=     44400 sum0=     45600

Index 2: raw_mean1=74.031 cycles raw_mean0=76.032 cycles trimmed_mean1=74.001 trimmed_mean0=76.000 (kept 38/40 rounds) => recovered=1 (actual=0)
  round  0: sum1=     44412 sum0=     45597
  round  1: sum1=     44400 sum0=     45599
  round  2: sum1=     44400 sum0=     45600
  round  3: sum1=     44400 sum0=     45600
  round  4: sum1=     44400 sum0=     45600
  round  5: sum1=     44400 sum0=     45600
  round  6: sum1=     44400 sum0=     45600
  round  7: sum1=     44400 sum0=     45600
  round  8: sum1=     44400 sum0=     45600
  round  9: sum1=     44400 sum0=     45600
  round 10: sum1=     44400 sum0=     45600
  round 11: sum1=     44400 sum0=     45600
  round 12: sum1=     44400 sum0=     45600
  round 13: sum1=     44400 sum0=     45600
  round 14: sum1=     44400 sum0=     45600
  round 15: sum1=     44400 sum0=     45600
  round 16: sum1=     44400 sum0=     45600
  round 17: sum1=     44400 sum0=     45600
  round 18: sum1=     44400 sum0=     45600
  round 19: sum1=     44400 sum0=     46377
  round 20: sum1=     45124 sum0=     45600
  round 21: sum1=     44400 sum0=     45600
  round 22: sum1=     44400 sum0=     45600
  round 23: sum1=     44400 sum0=     45600
  round 24: sum1=     44400 sum0=     45600
  round 25: sum1=     44400 sum0=     45600
  round 26: sum1=     44400 sum0=     45600
  round 27: sum1=     44400 sum0=     45600
  round 28: sum1=     44400 sum0=     45600
  round 29: sum1=     44400 sum0=     45600
  round 30: sum1=     44400 sum0=     45600
  round 31: sum1=     44400 sum0=     45600
  round 32: sum1=     44400 sum0=     45600
  round 33: sum1=     44400 sum0=     45600
  round 34: sum1=     44400 sum0=     45600
  round 35: sum1=     44400 sum0=     45600
  round 36: sum1=     44400 sum0=     45600
  round 37: sum1=     44400 sum0=     45600
  round 38: sum1=     44400 sum0=     45600
  round 39: sum1=     44400 sum0=     45600

Index 3: raw_mean1=78.932 cycles raw_mean0=76.505 cycles trimmed_mean1=74.245 trimmed_mean0=76.131 (kept 36/40 rounds) => recovered=1 (actual=1)
  round  0: sum1=     47063 sum0=     46537
  round  1: sum1=     44593 sum0=     48598
  round  2: sum1=     48662 sum0=     48987
